status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,14.70634307,367.3718322,1.706322868,8,47.8,56.4,88,224.8,0.955138664,1.053796119
Methylated,Y,139.5120161,407.6045416,2.143419863,12,19,26,143.6,171.2,1.321395714,1.180739587
Methylated,Y,11.76547613,281.8116417,1.68027694,22,7.2,18.6,46.8,142,1.095663703,1.338730909
Methylated,Y,22.33212129,214.9131466,1.823070908,8,59,55.6,118,153.2,0.636752881,1.001670246
Methylated,Y,173.1598731,634.5923701,2.488701615,21,9.6,15.6,126.4,82.4,1.243669043,0.977334832
Methylated,N,-36.06182916,269.720065,2.766199833,4,34,59.6,57.6,446.8,0.98163059,1.319455045
Methylated,Y,178.9288972,520.0795868,2.547829036,25,15.6,15.2,78,119.2,1.021734839,1.240209939
Methylated,N,-6.979001403,265.1257172,1.838365601,53,3.2,4.4,36.8,163.6,1.419579822,2.024685761
Methylated,Y,230.936103,517.7190699,2.359438555,24,14.6,15.2,54,81.6,1.02862544,1.050995781
Methylated,Y,61.19833839,490.3637723,2.774176967,10,5.6,43,142,124,1.281089919,0.923374486
Methylated,N,-33.9534707,332.9039194,3.495333005,15,7.6,59.2,13.6,215.2,0.544420737,0.963739046
Methylated,Y,-4.627405389,484.3768272,2.783744482,16,5.6,36.8,136.4,127.2,1.584475088,1.003811728
Methylated,Y,47.29453164,426.042873,2.29040114,10,7.2,51.2,80.4,204.4,1.195914379,1.041147494
Methylated,N,46.04310541,380.0157857,1.31375863,6,18.8,137.2,23.2,190,0.285792291,0.327201822
Methylated,Y,126.2633446,369.8276775,2.620132197,10,10,51.8,150.8,102.4,1.286997126,0.712843872
Methylated,N,32.72622128,590.0230269,2.348750467,9,8,40.4,140.8,233.2,1.412783516,1.178855545
Methylated,Y,-37.53817201,539.6588175,2.999961947,26,9.6,20.6,56.8,85.6,1.101386381,0.967028834
Methylated,N,14.61473053,555.855317,2.717461957,8,34.6,9.2,59.6,386,0.712503927,1.807348552
Methylated,Y,40.51222671,337.1195284,2.491654092,18,7.6,25.4,130.4,102.4,1.717447828,0.973560478
